DATE_OF_DEATH,Confirmed,Probable,INCOMPLETE,baseline,Total
03/11/2020,1,0,null,0,1
03/12/2020,0,0,null,0,0
03/13/2020,0,0,null,0,0
03/14/2020,2,1,null,0,3
03/15/2020,5,0,null,0,5
03/16/2020,8,1,null,0,9
03/17/2020,8,3,null,0,11
03/18/2020,21,4,null,0,25
03/19/2020,24,2,null,0,26
03/20/2020,47,3,null,0,50
03/21/2020,44,6,null,0,50
03/22/2020,50,3,null,0,53
03/23/2020,82,13,null,0,95
03/24/2020,95,12,null,0,107
03/25/2020,123,19,null,0,142
03/26/2020,190,41,null,0,231
03/27/2020,217,40,null,0,257
03/28/2020,274,51,null,0,325
03/29/2020,292,63,null,0,355
03/30/2020,325,85,null,0,410
03/31/2020,384,85,null,0,469
04/01/2020,448,101,null,0,549
04/02/2020,498,165,null,0,663
04/03/2020,498,168,null,0,666
04/04/2020,510,186,null,0,696
04/05/2020,580,174,null,0,754
04/06/2020,576,224,null,0,800
04/07/2020,598,215,null,0,813
04/08/2020,569,199,null,0,768
04/09/2020,560,191,null,0,751
04/10/2020,539,179,null,0,718
04/11/2020,543,170,null,0,713
04/12/2020,573,175,null,0,748
04/13/2020,571,185,null,0,756
04/14/2020,511,141,null,0,652
04/15/2020,455,106,null,0,561
04/16/2020,414,136,null,0,550
04/17/2020,384,93,null,0,477
04/18/2020,391,115,null,0,506
04/19/2020,399,89,null,0,488
04/20/2020,364,94,null,0,458
04/21/2020,323,93,null,0,416
04/22/2020,312,81,null,0,393
04/23/2020,332,79,null,0,411
04/24/2020,316,57,null,0,373
04/25/2020,265,53,null,0,318
04/26/2020,246,53,null,0,299
04/27/2020,271,46,null,0,317
04/28/2020,228,30,null,0,258
04/29/2020,240,35,null,0,275
04/30/2020,223,30,null,0,253
05/01/2020,209,38,null,0,247
05/02/2020,192,31,null,0,223
05/03/2020,178,29,null,0,207
05/04/2020,159,35,null,0,194
05/05/2020,151,16,null,0,167
05/06/2020,150,28,null,0,178
05/07/2020,141,17,null,0,158
05/08/2020,131,22,null,0,153
05/09/2020,100,9,null,0,109
05/10/2020,103,12,null,0,115
05/11/2020,103,14,null,0,117
05/12/2020,91,12,null,0,103
05/13/2020,83,8,null,0,91
05/14/2020,70,17,null,0,87
05/15/2020,86,12,null,0,98
05/16/2020,83,18,null,0,101
05/17/2020,77,10,null,0,87
05/18/2020,57,9,null,0,66
05/19/2020,54,9,null,0,63
05/20/2020,81,6,null,0,87
05/21/2020,45,7,null,0,52
05/22/2020,64,12,null,0,76
05/23/2020,60,3,null,0,63
05/24/2020,49,4,null,0,53
05/25/2020,49,5,null,0,54
05/26/2020,37,5,null,0,42
05/27/2020,49,3,null,0,52
05/28/2020,38,4,null,0,42
05/29/2020,43,8,null,0,51
05/30/2020,54,4,null,0,58
05/31/2020,39,4,null,0,43
06/01/2020,34,5,null,0,39
06/02/2020,38,6,null,0,44
06/03/2020,42,4,null,0,46
06/04/2020,33,5,null,0,38
06/05/2020,28,3,null,0,31
06/06/2020,35,3,null,0,38
06/07/2020,24,5,null,0,29
06/08/2020,41,6,null,0,47
06/09/2020,34,3,null,0,37
06/10/2020,31,7,null,0,38
06/11/2020,21,5,null,0,26
06/12/2020,23,3,null,0,26
06/13/2020,14,2,null,0,16
06/14/2020,24,0,null,0,24
06/15/2020,20,0,null,0,20
06/16/2020,19,3,null,0,22
06/17/2020,20,1,null,0,21
06/18/2020,17,1,null,0,18
06/19/2020,17,0,null,0,17
06/20/2020,19,1,null,0,20
06/21/2020,28,0,null,0,28
06/22/2020,25,0,null,0,25
06/23/2020,27,1,null,0,28
06/24/2020,25,1,null,0,26
06/25/2020,19,1,null,0,20
06/26/2020,20,1,null,0,21
06/27/2020,21,4,null,0,25
06/28/2020,19,1,null,0,20
06/29/2020,25,3,null,0,28
06/30/2020,24,0,null,0,24
07/01/2020,12,1,null,0,13
07/02/2020,25,2,null,0,27
07/03/2020,24,1,null,0,25
07/04/2020,14,1,null,0,15
07/05/2020,17,0,null,0,17
07/06/2020,17,4,null,0,21
07/07/2020,13,1,null,0,14
07/08/2020,20,3,null,0,23
07/09/2020,10,0,null,0,10
07/10/2020,10,0,null,0,10
07/11/2020,13,1,null,0,14
07/12/2020,11,1,null,0,12
07/13/2020,16,2,null,0,18
07/14/2020,10,0,null,0,10
07/15/2020,14,2,null,0,16
07/16/2020,10,0,null,0,10
07/17/2020,14,1,null,0,15
07/18/2020,11,2,null,0,13
07/19/2020,7,2,null,0,9
07/20/2020,11,2,null,0,13
07/21/2020,11,0,null,0,11
07/22/2020,8,2,null,0,10
07/23/2020,9,0,null,0,9
07/24/2020,6,0,null,0,6
07/25/2020,11,1,null,0,12
07/26/2020,8,1,null,0,9
07/27/2020,5,0,null,0,5
07/28/2020,12,1,null,0,13
07/29/2020,5,0,null,0,5
07/30/2020,4,1,null,0,5
07/31/2020,5,1,null,0,6
08/01/2020,8,1,null,0,9
08/02/2020,2,0,null,0,2
08/03/2020,3,1,null,0,4
08/04/2020,6,2,null,0,8
08/05/2020,8,0,null,0,8
08/06/2020,4,2,null,0,6
08/07/2020,5,0,null,0,5
08/08/2020,6,1,null,0,7
08/09/2020,3,0,null,0,3
08/10/2020,6,0,null,0,6
08/11/2020,7,1,null,0,8
08/12/2020,2,2,null,0,4
08/13/2020,3,3,null,0,6
08/14/2020,3,2,null,0,5
08/15/2020,7,1,null,0,8
08/16/2020,6,0,null,0,6
08/17/2020,4,1,null,0,5
08/18/2020,2,0,1000,0,2
08/19/2020,3,0,1000,0,3
08/20/2020,2,2,1000,0,4
08/21/2020,2,2,1000,0,4
08/22/2020,3,0,1000,0,3
08/23/2020,2,2,1000,0,4
08/24/2020,0,0,1000,0,0